Year,Month,Day,Registered,Casual
2013,6,8,6288,3575
2013,6,9,5907,3434
2013,6,10,3715,714
2013,6,11,7532,1739
2013,6,12,7683,1586
2013,6,13,6174,1166
2013,6,14,7686,2214
2013,6,15,6344,4202
2013,6,16,5282,3534
2013,6,17,6973,1730
2013,6,18,6268,940
2013,6,19,8334,1802
2013,6,20,8472,1795
2013,6,21,8055,2367
2013,6,22,6510,4403
2013,6,23,4871,2405
2013,6,24,6664,1470
2013,6,25,7717,1559
2013,6,26,7299,1312
2013,6,27,7587,1302
2013,6,28,5316,1061
2013,6,29,6647,3973
2013,6,30,4775,2405
2013,7,1,6569,1374
2013,7,2,6667,1286
2013,7,3,6215,1603
2013,7,4,5610,5222
2013,7,5,5867,4785
2013,7,6,4686,4295
2013,7,7,4459,2490
2013,7,8,6849,1323
2013,7,9,7651,1197
2013,7,10,7091,1118
2013,7,11,7558,1384
2013,7,12,4786,1006
2013,7,13,6148,3224
2013,7,14,5699,2798
2013,7,15,6765,1343
2013,7,16,7211,1304
2013,7,17,7379,1341
2013,7,18,6781,1121
2013,7,19,6575,1512
2013,7,20,5577,3129
2013,7,21,5406,3132
2013,7,22,7218,1578
2013,7,23,7822,1513
2013,7,24,8149,1707
2013,7,25,8320,1908
2013,7,26,8126,2244
2013,7,27,5299,3175
2013,7,28,5379,2863
2013,7,29,7413,1915
2013,7,30,8025,1955
2013,7,31,7305,1468
2013,8,1,6666,1178
2013,8,2,7581,2359
2013,8,3,5216,3316
2013,8,4,6194,4317
2013,8,5,7817,2345
2013,8,6,6922,1547
2013,8,7,7896,1931
2013,8,8,7434,1538
2013,8,9,7393,2152
2013,8,10,6031,4131
2013,8,11,5720,3876
2013,8,12,7459,2154
2013,8,13,6804,1591
2013,8,14,8498,1999
2013,8,15,8608,2192
2013,8,16,8093,2796
2013,8,17,6428,4740
2013,8,18,4085,1750
2013,8,19,7219,1847
2013,8,20,7966,1726
2013,8,21,7594,1647
2013,8,22,7789,1861
2013,8,23,6541,1158
2013,8,24,7207,3783
2013,8,25,6257,3327
2013,8,26,7698,1687
